Fondsposition per,"05.Juni2026"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"VOLV B","VOLVO CLASS B","Industrie","Aktien","36.751.945,60","0,36","36.751.945,60","1.246.157,00","29,49","Schweden","Nasdaq Omx Nordic","SEK"
"DB1","DEUTSCHE BOERSE AG","Finanzwesen","Aktien","35.828.859,50","0,35","35.828.859,50","145.705,00","245,90","Deutschland","Xetra","EUR"
"BAS","BASF N","Materialien","Aktien","35.705.270,44","0,35","35.705.270,44","700.378,00","50,98","Deutschland","Xetra","EUR"
"ENI","ENI","Energie","Aktien","35.375.043,75","0,35","35.375.043,75","1.502.125,00","23,55","Italien","Borsa Italiana","EUR"
"EUR","EUR CASH","Cash und/oder Derivate","Geldmarkt","34.286.474,86","0,34","34.286.474,86","34.286.475,00","100,00","Europäische Union","-","EUR"
"HOLN","HOLCIM LTD AG","Materialien","Aktien","33.780.358,39","0,33","33.780.358,39","416.563,00","81,09","Schweiz","SIX Swiss Exchange","CHF"
"PRY","PRYSMIAN","Industrie","Aktien","33.424.395,30","0,33","33.424.395,30","229.958,00","145,35","Italien","Borsa Italiana","EUR"
"ASM","ASM INTERNATIONAL NV","IT","Aktien","33.397.707,00","0,33","33.397.707,00","38.521,00","867,00","Niederlande","Euronext Amsterdam","EUR"
"G","ASSICURAZIONI GENERALI","Finanzwesen","Aktien","33.388.553,48","0,33","33.388.553,48","860.308,00","38,81","Italien","Borsa Italiana","EUR"
"ATCO A","ATLAS COPCO CLASS A","Industrie","Aktien","33.199.023,23","0,33","33.199.023,23","2.019.015,00","16,44","Schweden","Nasdaq Omx Nordic","SEK"
"DSV","DSV","Industrie","Aktien","33.049.346,73","0,33","33.049.346,73","153.287,00","215,60","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
